word,count
start,92
c25k,19
week,110
ago,13
able,11
complete,22
running,87
second,89
try,104
walk,107
rest,84
day,24
bad,14
good,39
15,3
20,5
min,66
don,28
want,108
race,82
year,114
hit,47
time,99
training,103
injury,50
post,77
didn,26
way,109
month,68
50,9
mileage,65
feel,34
www,113
com,20
18,4
come,21
great,40
experience,31
felt,36
like,54
lot,60
think,98
make,61
just,51
goal,38
pace,71
bit,17
hard,44
point,76
right,85
really,83
couple,23
30,7
minute,67
10k,1
hour,48
little,55
leg,53
use,105
pretty,79
workout,112
fast,33
end,30
look,59
runner,86
plan,75
mile,64
thing,97
ll,56
slow,90
train,102
maybe,63
10,0
finish,37
people,74
stop,93
base,15
need,69
advice,12
marathon,62
pain,72
long,57
ve,106
decide,25
12,2
long run,58
know,52
help,45
sure,95
work,111
feel like,35
today,100
5k,10
distance,27
track,101
thanks,96
http,49
half,42
pr,78
break,18
past,73
say,88
speed,91
half marathon,43
program,80
guy,41
question,81
best,16
far,32
25,6
new,70
high,46
40,8
easy,29
sub,94
